Matricula,Dominio,Dependencia,TipoVehiculo,Marca,Modelo,Color,NumeroChasis,NumeroMotor,Año,TipoCombustible,CapacidadTanque,RelacionConsumo,LimiteLitros,RetiraDni,RetiraNombre,Estado,DireccionGral,DireccionGralId
10011,VP172XM,BRIGADA CIVIL,PICK-UP,TOYOTA,1144,NEGRO,7145859221,51646882,2024,Diesel,71,9.47,371.03,53238744,OPERADOR_11,En Servicio,DIRECCION GRAL. INVESTIGACIONES CRIMINALES,6
10012,GK001RL,BRIGADA CIVIL,MOTOCICLETA,TOYOTA,2788,BLANCO,3798791334,87171351,2024,Gasolina,18,38.32,327.52,46993231,OPERADOR_12,Fuera de Servicio,DIRECCION GRAL. INVESTIGACIONES CRIMINALES,6
10013,GY604FD,POLICIA CAMINERA,MOTOCICLETA,FORD,1682,ROJO,5235699824,41932732,2023,Gasolina,96,30.15,203.27,41417143,OPERADOR_13,Fuera de Servicio,DIRECCION GRAL. DE POLICIA CAMINERA,5
10014,GZ672SO,COMISARIA CAPITAL ZONA 1,PICK-UP,CHEVROLET,1833,ROJO,1926054231,31321119,2020,Diesel,70,10.15,122.95,09348100,OPERADOR_14,Baja,DIRECCION GRAL. SEGURIDAD CAPITAL,1
10015,BY 045AV,SUBJEFATURA CAPITAL,PICK-UP,RENAULT,7136,BLANCO,5078262856,20159064,2025,Diesel,69,9.15,400.48,83882686,OPERADOR_15,Fuera de Servicio,,12
10016,LX575LE,JEFATURA,PICK-UP,FORD,6034,ROJO,8549943439,04747051,2015,Diesel,67,9.16,212.8,84043268,OPERADOR_16,Fuera de Servicio,,15
10017,ZO 073RM,BRIGADA CIVIL,CAMIÓN,TOYOTA,5359,NEGRO,6823105179,06547857,2019,Diesel,146,2.87,446.92,13871273,OPERADOR_17,Baja,DIRECCION GRAL. INVESTIGACIONES CRIMINALES,6
10018,YX424LE,JEFATURA,CAMIÓN,RENAULT,8614,BLANCO,0379566435,98254376,2025,Diesel,182,4.32,156.21,51547655,OPERADOR_18,En Servicio,,15
10019,XQ002XR,POLICIA CAMINERA,CAMIÓN,CHEVROLET,3789,BLANCO,9202222981,75112036,2023,Diesel,136,2.64,442.34,17537300,OPERADOR_19,Fuera de Servicio,DIRECCION GRAL. DE POLICIA CAMINERA,5
10020,MB899RC,COMISARIA CAPITAL ZONA 1,SEDAN,CHEVROLET,4076,GRIS,5113319130,89634933,2018,GNC,53,13.96,489.83,46112014,OPERADOR_20,En Servicio,DIRECCION GRAL. SEGURIDAD CAPITAL,1
10021,SZ485LH,SUBJEFATURA CAPITAL,SEDAN,RENAULT,0493,AZUL,1701124143,07588306,2015,GNC,55,11.73,232.74,8837 8230,OPERADOR_21,Fuera de Servicio,,12
10022,QA260FN,SUBJEFATURA CAPITAL,PICK-UP,NISSAN,6714,AZUL,6932350122,31026953,2019,Diesel,78,10.5,189.84,7859 2498,OPERADOR_22,Fuera de Servicio,,12
10023,ND789AK,PATRULLA RURAL NORTE,MOTOCICLETA,TOYOTA,2943,AZUL,0633736459,13816760,2024,Gasolina,18,30.21,202.87,51363911,OPERADOR_23,Baja,DIRECCION GRAL. DEPARTAMENTALES NORTE,2
10024,LF.399TN,COMISARIA CAPITAL ZONA 1,SEDAN,NISSAN,9207,BLANCO,6714934301,71600926,2018,GNC,59,12.1,128.22,01003405,OPERADOR_24,Baja,DIRECCION GRAL. SEGURIDAD CAPITAL,1
10025,BR099FU,PATRULLA RURAL NORTE,CAMIÓN,NISSAN,3269,GRIS,6280920421,24687902,2015,Diesel,148,3.41,469.19,97817562,OPERADOR_25,Baja,DIRECCION GRAL. DEPARTAMENTALES NORTE,2
10026,IG.716OZ,SUBJEFATURA CAPITAL,PICK-UP,CHEVROLET,4169,ROJO,9212306885,12146578,2022,Diesel,77,9.01,293.76,64886573,OPERADOR_26,En Servicio,,12
10027,PB186JN,SUBJEFATURA CAPITAL,MOTOCICLETA,FORD,2768,NEGRO,1200038567,06687751,2023,Gasolina,18,29.21,485.66,05683627,OPERADOR_27,Baja,,12
10028,RZ593ZU,JEFATURA,CAMIÓN,FORD,7383,AZUL,3457258009,23375861,2020,Diesel,132,4.01,107.64,87121261,OPERADOR_28,Fuera de Servicio,,15
10029,BZ021JT,COMISARIA CAPITAL ZONA 1,PICK-UP,RENAULT,7453,NEGRO,8201836805,30049671,2018,Diesel,80,9.52,106.0,14242245,OPERADOR_29,Baja,DIRECCION GRAL. SEGURIDAD CAPITAL,1
10030,AX394GU,POLICIA CAMINERA,SEDAN,TOYOTA,5010,GRIS,4713113961,51609589,2024,Gasolina,60,13.48,329.68,89323240,OPERADOR_30,Fuera de Servicio,DIRECCION GRAL. DE POLICIA CAMINERA,5
10031,RR983GU,SUBJEFATURA CAPITAL,PICK-UP,NISSAN,2859,BLANCO,2398715803,67957786,2016,Gasolina,76,7.68,160.19,32080652,OPERADOR_31,Baja,,12
10032,PH203RA,JEFATURA,MOTOCICLETA,NISSAN,7146,NEGRO,4746562122,11440726,2017,Gasolina,14,32.68,152.19,80607758,OPERADOR_32,Baja,,15
10033,GF964MR,COMISARIA CAPITAL ZONA 1,CAMIÓN,NISSAN,2515,ROJO,9983040812,56585873,2022,Diesel,122,3.76,118.83,16946594,OPERADOR_33,En Servicio,DIRECCION GRAL. SEGURIDAD CAPITAL,1
10034,PZ563MG,JEFATURA,SEDAN,FORD,2364,BLANCO,5692506843,72388064,2019,Gasolina,54,13.29,331.72,15217189,OPERADOR_34,Fuera de Servicio,,15
10035,LA584KG,BRIGADA CIVIL,CAMIÓN,RENAULT,8567,NEGRO,7686356707,73278181,2016,Diesel,185,2.53,145.76,67898714,OPERADOR_35,Fuera de Servicio,DIRECCION GRAL. INVESTIGACIONES CRIMINALES,6
10036,JM.777HP,POLICIA CAMINERA,PICK-UP,NISSAN,1672,NEGRO,0234591153,43739764,2016,Gasolina,65,8.39,462.25,82917652,OPERADOR_36,En Servicio,DIRECCION GRAL. DE POLICIA CAMINERA,5
10037,SG767VQ,PATRULLA RURAL NORTE,SEDAN,FORD,8060,BLANCO,6692797784,38738857,2021,GNC,48,11.12,196.68,09944926,OPERADOR_37,Fuera de Servicio,DIRECCION GRAL. DEPARTAMENTALES NORTE,2
10003,PY877AP,SUBJEFATURA CAPITAL,PICK-UP,CHEVROLET,1145,NEGRO,1983620827,04759621,2019,Diesel,67,9.4,332.4,52989404,OPERADOR_38,En Servicio,,12
10039,XH141WH,BRIGADA CIVIL,CAMIÓN,RENAULT,2291,BLANCO,0833485176,89719919,2015,Diesel,151,3.27,277.3,44795164,OPERADOR_39,En Servicio,DIRECCION GRAL. INVESTIGACIONES CRIMINALES,6
10040,BD607FX,PATRULLA RURAL NORTE,MOTOCICLETA,TOYOTA,0414,GRIS,3472713360,59633362,2022,Gasolina,17,35.64,159.34,7469 6082,OPERADOR_40,Baja,DIRECCION GRAL. DEPARTAMENTALES NORTE,2
10041,AK776GK,JEFATURA,MOTOCICLETA,NISSAN,3355,GRIS,1517604506,93808307,2023,Gasolina,13,36.04,233.37,89447984,OPERADOR_41,En Servicio,,15
10042,OH915XU,PATRULLA RURAL NORTE,MOTOCICLETA,TOYOTA,7581,BLANCO,9557291282,13168315,2025,Gasolina,16,34.07,152.59,33549321,OPERADOR_42,Fuera de Servicio,DIRECCION GRAL. DEPARTAMENTALES NORTE,2
10043,JG735SR,BRIGADA CIVIL,PICK-UP,FORD,6108,GRIS,3459266629,41274614,2018,Diesel,69,9.06,197.73,75713615,OPERADOR_43,Baja,DIRECCION GRAL. INVESTIGACIONES CRIMINALES,6
10044,TW753JR,COMISARIA CAPITAL ZONA 1,SEDAN,CHEVROLET,0904,ROJO,4024552285,07631896,2024,Gasolina,46,11.73,326.92,88102742,OPERADOR_44,Baja,DIRECCION GRAL. SEGURIDAD CAPITAL,1
10045,AN958UI,POLICIA CAMINERA,SEDAN,CHEVROLET,8827,GRIS,5967912100,82923626,2021,Gasolina,54,10.51,414.18,83438313,OPERADOR_45,En Servicio,DIRECCION GRAL. DE POLICIA CAMINERA,5
10046,CQ841OL,PATRULLA RURAL NORTE,MOTOCICLETA,NISSAN,3663,NEGRO,8783787246,65992177,2018,Gasolina,18,36.38,468.5,20882771,OPERADOR_46,Fuera de Servicio,DIRECCION GRAL. DEPARTAMENTALES NORTE,2
10047,IL975DZ,PATRULLA RURAL NORTE,SEDAN,TOYOTA,6542,ROJO,0567027153,03239308,2015,GNC,114,10.93,286.93,46604183,OPERADOR_47,Baja,DIRECCION GRAL. DEPARTAMENTALES NORTE,2
10048,ER669YO,JEFATURA,MOTOCICLETA,CHEVROLET,7317,ROJO,8457564881,13357666,2021,Gasolina,14,34.77,357.02,61672988,OPERADOR_48,,,15
10049,RX247EE,BRIGADA CIVIL,CAMIÓN,RENAULT,4130,ROJO,5509104280,27166290,2023,Diesel,171,4.08,127.6,96896473,OPERADOR_49,Fuera de Servicio,DIRECCION GRAL. INVESTIGACIONES CRIMINALES,6
10050,CZ552CW,COMISARIA CAPITAL ZONA 1,CAMIÓN,RENAULT,4349,BLANCO,5805459060,02506859,2016,Diesel,157,2.99,407.23,09642010,OPERADOR_50,En Servicio,DIRECCION GRAL. SEGURIDAD CAPITAL,1
10051,BX728PS,SUBJEFATURA CAPITAL,MOTOCICLETA,CHEVROLET,6828,ROJO,3326923168,55572356,2016,Gasolina,13,29.27,385.79,40577726,OPERADOR_51,En Servicio,,12
10052,SR648CP,POLICIA CAMINERA,SEDAN,NISSAN,1671,BLANCO,5299066784,23406487,2024,Gasolina,49,13.36,154.74,40689948,OPERADOR_52,Baja,DIRECCION GRAL. DE POLICIA CAMINERA,5
10053,SR778AI,COMISARIA CAPITAL ZONA 1,PICK-UP,NISSAN,7821,ROJO,7995046450,98493292,2017,Diesel,72,8.13,447.13,95269316,OPERADOR_53,Fuera de Servicio,DIRECCION GRAL. SEGURIDAD CAPITAL,1
10054,XE498OS,BRIGADA CIVIL,MOTOCICLETA,RENAULT,0856,GRIS,7177166414,56041031,2021,Gasolina,16,36.44,139.73,2740 2029,OPERADOR_54,En Servicio,DIRECCION GRAL. INVESTIGACIONES CRIMINALES,6
10055,VF230CE,PATRULLA RURAL NORTE,SEDAN,RENAULT,1654,NEGRO,3556289408,19851487,2015,GNC,48,10.13,196.14,22362629,OPERADOR_55,Baja,DIRECCION GRAL. DEPARTAMENTALES NORTE,2
10056,CL584XD,COMISARIA CAPITAL ZONA 1,CAMIÓN,CHEVROLET,9230,BLANCO,8634719458,47678534,2017,Diesel,175,4.18,139.16,95139756,OPERADOR_56,En Servicio,DIRECCION GRAL. SEGURIDAD CAPITAL,1
10057,TD929VR,JEFATURA,PICK-UP,RENAULT,6443,NEGRO,5252014002,48654496,2022,Gasolina,68,9.01,248.71,62212387,OPERADOR_57,Baja,,15
10058,WI010ZE,JEFATURA,MOTOCICLETA,NISSAN,9222,GRIS,3787318967,33985669,2019,Gasolina,15,35.04,345.96,41992596,OPERADOR_58,En Servicio,,15
10059,SA702VD,PATRULLA RURAL NORTE,SEDAN,FORD,2700,NEGRO,2367049536,61569750,2022,GNC,55,10.35,432.56,93297617,OPERADOR_59,Baja,DIRECCION GRAL. DEPARTAMENTALES NORTE,2
10060,XF562BF,COMISARIA CAPITAL ZONA 1,MOTOCICLETA,NISSAN,4821,ROJO,3116240781,63530087,2019,Gasolina,16,37.62,108.71,19628186,OPERADOR_60,En Servicio,DIRECCION GRAL. SEGURIDAD CAPITAL,1
10061,YF597UA,SUBJEFATURA CAPITAL,MOTOCICLETA,RENAULT,2851,NEGRO,8993899139,72672868,2022,Gasolina,17,30.66,148.5,96765167,OPERADOR_61,Fuera de Servicio,,12
10062,BF510KG,POLICIA CAMINERA,SEDAN,RENAULT,1153,BLANCO,0399352096,31503235,2017,Gasolina,50,12.63,171.6,19694135,OPERADOR_62,En Servicio,DIRECCION GRAL. DE POLICIA CAMINERA,5
10063,PA882PX,JEFATURA,MOTOCICLETA,CHEVROLET,1427,ROJO,4159913622,95022319,2025,Gasolina,14,31.49,230.88,17672303,OPERADOR_63,Baja,,15
10064,DL388WK,SUBJEFATURA CAPITAL,SEDAN,TOYOTA,8068,AZUL,7262632693,44321865,2022,GNC,45,13.12,130.45,06571162,OPERADOR_64,En Servicio,,12
10065,IR807DB,POLICIA CAMINERA,PICK-UP,RENAULT,3435,BLANCO,8921412546,08991128,2023,Diesel,69,8.97,411.2,22850815,OPERADOR_65,En Servicio,DIRECCION GRAL. DE POLICIA CAMINERA,5
10066,KB560UG,COMISARIA CAPITAL ZONA 1,MOTOCICLETA,CHEVROLET,5533,AZUL,2541958753,02563311,2015,Gasolina,13,33.58,281.61,80652559,OPERADOR_66,,DIRECCION GRAL. SEGURIDAD CAPITAL,1
10067,NM185XR,SUBJEFATURA CAPITAL,MOTOCICLETA,NISSAN,5920,ROJO,6827804998,55625216,2022,Gasolina,12,27.5,169.72,6872 7158,OPERADOR_67,En Servicio,,12
10068,ZS215DY,SUBJEFATURA CAPITAL,SEDAN,FORD,3865,BLANCO,1697287222,98646141,2016,Gasolina,56,9.68,127.8,93837346,OPERADOR_68,Baja,,12
10069,AK605HP,COMISARIA CAPITAL ZONA 1,MOTOCICLETA,TOYOTA,1197,GRIS,8315864581,25326798,2020,Gasolina,17,25.66,330.34,63991626,OPERADOR_69,Baja,DIRECCION GRAL. SEGURIDAD CAPITAL,1
10070,CW421VF,JEFATURA,CAMIÓN,RENAULT,3266,ROJO,5475541472,52784219,2016,Diesel,166,3.62,458.9,21694168,OPERADOR_70,Baja,,15
10071,CF084PF,POLICIA CAMINERA,MOTOCICLETA,TOYOTA,2862,GRIS,5857722149,63615939,2025,Gasolina,17,25.06,224.59,76298233,OPERADOR_71,Baja,DIRECCION GRAL. DE POLICIA CAMINERA,5
10072,MW.620MC,BRIGADA CIVIL,SEDAN,NISSAN,3964,BLANCO,8400665148,90615306,2019,Gasolina,47,9.1,419.55,98005257,OPERADOR_72,Baja,DIRECCION GRAL. INVESTIGACIONES CRIMINALES,6
10073,HJ182NJ,SUBJEFATURA CAPITAL,SEDAN,RENAULT,1068,GRIS,7157341290,78977185,2025,Gasolina,52,12.38,300.71,72281821,OPERADOR_73,Fuera de Servicio,,12
10074,RN775IF,SUBJEFATURA CAPITAL,SEDAN,FORD,7059,AZUL,0673779555,25565231,2022,Gasolina,55,10.28,251.61,02113009,OPERADOR_74,Fuera de Servicio,,12
10124,GU559EO,SUBJEFATURA CAPITAL,MOTOCICLETA,TOYOTA,1977,NEGRO,9316678886,95267851,2017,Gasolina,16,34.31,438.45,09663748,OPERADOR_75,En Servicio,,12
10076,MI577LO,COMISARIA CAPITAL ZONA 1,SEDAN,CHEVROLET,7946,NEGRO,8272462678,12755696,2015,Gasolina,54,12.79,320.6,30044696,OPERADOR_76,Fuera de Servicio,DIRECCION GRAL. SEGURIDAD CAPITAL,1
10077,VZ681BT,BRIGADA CIVIL,PICK-UP,RENAULT,6487,GRIS,9646234675,16619883,2021,Gasolina,77,7.94,353.24,90545283,OPERADOR_77,En Servicio,DIRECCION GRAL. INVESTIGACIONES CRIMINALES,6
10078,BQ544FI,PATRULLA RURAL NORTE,PICK-UP,FORD,0125,NEGRO,9691295484,15348320,2020,Diesel,75,7.11,305.99,84727285,OPERADOR_78,Fuera de Servicio,DIRECCION GRAL. DEPARTAMENTALES NORTE,2
10079,WV482NU,PATRULLA RURAL NORTE,CAMIÓN,TOYOTA,9620,BLANCO,8323514417,78296309,2016,Diesel,194,3.59,176.86,14333949,OPERADOR_79,Fuera de Servicio,DIRECCION GRAL. DEPARTAMENTALES NORTE,2
10080,HP079FL,COMISARIA CAPITAL ZONA 1,PICK-UP,FORD,7493,AZUL,3449086610,77290721,2019,Diesel,76,8.72,158.23,50455389,OPERADOR_80,Fuera de Servicio,DIRECCION GRAL. SEGURIDAD CAPITAL,1
10081,VQ744IZ,COMISARIA CAPITAL ZONA 1,CAMIÓN,RENAULT,4697,ROJO,7840416841,37233794,2015,Diesel,196,3.35,467.71,13522869,OPERADOR_81,,DIRECCION GRAL. SEGURIDAD CAPITAL,1
10082,EG920OJ,POLICIA CAMINERA,MOTOCICLETA,CHEVROLET,3778,GRIS,3363693588,15273225,2017,Gasolina,13,30.46,321.63,57952392,OPERADOR_82,Baja,DIRECCION GRAL. DE POLICIA CAMINERA,5
10083,GG728LY,JEFATURA,SEDAN,CHEVROLET,0550,NEGRO,8248824383,70295753,2025,GNC,49,10.32,229.66,62580561,OPERADOR_83,Fuera de Servicio,,15
10084,KR925QA,POLICIA CAMINERA,CAMIÓN,TOYOTA,5314,BLANCO,0995088475,91551724,2023,Diesel,188,3.99,419.8,93884291,OPERADOR_84,Fuera de Servicio,DIRECCION GRAL. DE POLICIA CAMINERA,5
10085,VM394XT,BRIGADA CIVIL,CAMIÓN,TOYOTA,0899,BLANCO,9429764660,65207320,2016,Diesel,133,2.5,264.7,48951115,OPERADOR_85,Fuera de Servicio,DIRECCION GRAL. INVESTIGACIONES CRIMINALES,6
10086,VN092CA,SUBJEFATURA CAPITAL,MOTOCICLETA,RENAULT,8611,BLANCO,5287650123,65765356,2020,Gasolina,15,39.1,445.73,81298331,OPERADOR_86,En Servicio,,12
10087,YM.551VI,POLICIA CAMINERA,SEDAN,TOYOTA,7480,GRIS,8837928638,42299726,2023,GNC,59,10.38,457.01,71987477,OPERADOR_87,En Servicio,DIRECCION GRAL. DE POLICIA CAMINERA,5
10088,OE251NX,PATRULLA RURAL NORTE,PICK-UP,NISSAN,5439,BLANCO,4250493473,80876384,2017,Diesel,71,8.07,321.56,99822110,OPERADOR_88,Fuera de Servicio,DIRECCION GRAL. DEPARTAMENTALES NORTE,2
10089,PA829HV,PATRULLA RURAL NORTE,SEDAN,FORD,0070,AZUL,9767073065,36638980,2016,Gasolina,54,13.19,269.14,84419909,OPERADOR_89,Baja,DIRECCION GRAL. DEPARTAMENTALES NORTE,2
10090,UW.250EE,COMISARIA CAPITAL ZONA 1,CAMIÓN,RENAULT,7328,AZUL,4386112674,20303432,2025,Diesel,139,3.92,209.55,56596769,OPERADOR_90,Baja,DIRECCION GRAL. SEGURIDAD CAPITAL,1
10091,AU359SI,JEFATURA,CAMIÓN,CHEVROLET,2093,GRIS,4924300114,73421362,2023,Diesel,187,4.2,189.34,68065391,OPERADOR_91,En Servicio,,15
10092,NX072UH,PATRULLA RURAL NORTE,CAMIÓN,TOYOTA,8260,NEGRO,9121772239,95487357,2020,Diesel,129,2.67,170.24,49036770,OPERADOR_92,Fuera de Servicio,DIRECCION GRAL. DEPARTAMENTALES NORTE,2
10093,OA562CI,JEFATURA,MOTOCICLETA,CHEVROLET,0006,BLANCO,5728040238,14622935,2024,Gasolina,15,39.92,494.01,76813829,OPERADOR_93,Fuera de Servicio,,15
10094,IZ684VM,PATRULLA RURAL NORTE,MOTOCICLETA,FORD,7992,ROJO,1394567145,95818998,2025,Gasolina,13,26.11,153.67,0824 2915,OPERADOR_94,Fuera de Servicio,DIRECCION GRAL. DEPARTAMENTALES NORTE,2
10095,PC705QY,PATRULLA RURAL NORTE,CAMIÓN,NISSAN,7791,ROJO,2734372245,14025522,2022,Diesel,142,4.41,375.92,68923373,OPERADOR_95,Baja,DIRECCION GRAL. DEPARTAMENTALES NORTE,2
10096,S/D,PATRULLA RURAL NORTE,PICK-UP,CHEVROLET,2707,NEGRO,9595504173,26227357,2019,Diesel,74,8.51,211.5,38429351,OPERADOR_96,En Servicio,DIRECCION GRAL. DEPARTAMENTALES NORTE,2
10097,CX888MJ,JEFATURA,PICK-UP,FORD,3561,GRIS,2369303052,22821431,2024,Diesel,77,9.93,144.2,58746268,OPERADOR_97,Fuera de Servicio,,15
10061,LO644RE,POLICIA CAMINERA,CAMIÓN,NISSAN,7853,ROJO,0907350203,06257920,2025,Diesel,192,3.19,386.01,86446655,OPERADOR_98,Fuera de Servicio,DIRECCION GRAL. DE POLICIA CAMINERA,5
10099,GI006WV,COMISARIA CAPITAL ZONA 1,CAMIÓN,NISSAN,1749,AZUL,3143311999,14149376,2017,Diesel,142,3.57,188.53,97305937,OPERADOR_99,Baja,DIRECCION GRAL. SEGURIDAD CAPITAL,1
10100,EQ334SR,POLICIA CAMINERA,CAMIÓN,RENAULT,1745,ROJO,5476981896,85412777,2024,Diesel,122,3.75,381.66,11426854,OPERADOR_100,Fuera de Servicio,DIRECCION GRAL. DE POLICIA CAMINERA,5
10101,WE569ZA,POLICIA CAMINERA,CAMIÓN,TOYOTA,9590,NEGRO,7792917498,30749446,2025,Diesel,172,2.74,351.11,59774958,OPERADOR_101,En Servicio,DIRECCION GRAL. DE POLICIA CAMINERA,5
10102,SL956PP,COMISARIA CAPITAL ZONA 1,SEDAN,RENAULT,9566,GRIS,1386058694,91231777,2023,Gasolina,47,9.65,182.86,47448417,OPERADOR_102,En Servicio,DIRECCION GRAL. SEGURIDAD CAPITAL,1
10103,TV.023PF,BRIGADA CIVIL,CAMIÓN,NISSAN,6992,GRIS,5566726830,51659572,2015,Diesel,147,2.53,120.8,93665047,OPERADOR_103,Fuera de Servicio,DIRECCION GRAL. INVESTIGACIONES CRIMINALES,6
10104,IW001MO,COMISARIA CAPITAL ZONA 1,CAMIÓN,FORD,8120,AZUL,3748704169,28877088,2016,Diesel,183,3.89,376.64,94605583,OPERADOR_104,Fuera de Servicio,DIRECCION GRAL. SEGURIDAD CAPITAL,1
10105,AY521KQ,POLICIA CAMINERA,PICK-UP,TOYOTA,7949,BLANCO,9724072861,33493427,2019,Diesel,73,10.38,158.97,84117608,OPERADOR_105,En Servicio,DIRECCION GRAL. DE POLICIA CAMINERA,5
10106,FD025EU,BRIGADA CIVIL,MOTOCICLETA,NISSAN,2209,GRIS,8382701585,10802204,2024,Gasolina,17,37.06,277.38,95021635,OPERADOR_106,En Servicio,DIRECCION GRAL. INVESTIGACIONES CRIMINALES,6
10107,GN065MU,SUBJEFATURA CAPITAL,CAMIÓN,FORD,3123,AZUL,2112843460,63199850,2018,Diesel,125,3.3,184.23,08258140,OPERADOR_107,En Servicio,,12
10108,LD590BU,SUBJEFATURA CAPITAL,MOTOCICLETA,RENAULT,9242,GRIS,1224499709,02765483,2018,Gasolina,14,28.03,489.59,68507892,OPERADOR_108,En Servicio,,12
10109,NI804OS,BRIGADA CIVIL,CAMIÓN,RENAULT,2201,GRIS,3653998458,61994870,2021,Diesel,192,2.79,434.3,56123002,OPERADOR_109,Baja,DIRECCION GRAL. INVESTIGACIONES CRIMINALES,6
10110,EH 527CE,BRIGADA CIVIL,SEDAN,RENAULT,7686,BLANCO,5289379884,95259688,2016,Gasolina,48,13.19,419.42,94274538,OPERADOR_110,Fuera de Servicio,DIRECCION GRAL. INVESTIGACIONES CRIMINALES,6
10111,AH143YU,JEFATURA,SEDAN,RENAULT,9161,ROJO,0046985748,05865970,2021,Gasolina,49,11.91,135.82,58601004,OPERADOR_111,Baja,,15
10080,HS393US,COMISARIA CAPITAL ZONA 1,PICK-UP,NISSAN,4343,AZUL,2755716603,51085446,2025,Diesel,70,9.91,468.2,40003391,OPERADOR_112,Baja,DIRECCION GRAL. SEGURIDAD CAPITAL,1
10113,KJ895MS,COMISARIA CAPITAL ZONA 1,PICK-UP,RENAULT,1767,GRIS,8825487491,29977878,2020,Gasolina,65,8.33,141.59,00454577,OPERADOR_113,En Servicio,DIRECCION GRAL. SEGURIDAD CAPITAL,1
10114,GN065MU,BRIGADA CIVIL,SEDAN,RENAULT,2539,AZUL,9735593829,92514254,2021,Gasolina,51,12.5,464.7,86515377,OPERADOR_114,En Servicio,DIRECCION GRAL. INVESTIGACIONES CRIMINALES,6
10115,KM361OR,SUBJEFATURA CAPITAL,PICK-UP,TOYOTA,8678,ROJO,1076731307,34109792,2024,Diesel,70,10.25,333.32,97548564,OPERADOR_115,Baja,,12
10116,FQ153IE,PATRULLA RURAL NORTE,CAMIÓN,RENAULT,7482,ROJO,2084441087,35528037,2016,Diesel,133,3.69,393.6,40084736,OPERADOR_116,En Servicio,DIRECCION GRAL. DEPARTAMENTALES NORTE,2
10117,SIN DOMINIO,SUBJEFATURA CAPITAL,SEDAN,NISSAN,9266,GRIS,4344376984,91201840,2022,Gasolina,56,12.65,395.3,76761610,OPERADOR_117,Fuera de Servicio,,12
10118,BT509RC,JEFATURA,MOTOCICLETA,TOYOTA,7018,BLANCO,1175154759,35316395,2022,Gasolina,16,26.48,157.19,44828493,OPERADOR_118,Fuera de Servicio,,15
10130,US881ED,COMISARIA CAPITAL ZONA 1,MOTOCICLETA,FORD,5990,AZUL,8985976937,96536946,2018,Gasolina,18,38.39,264.41,65482978,OPERADOR_119,En Servicio,DIRECCION GRAL. SEGURIDAD CAPITAL,1
10120,JP712ZZ,JEFATURA,SEDAN,CHEVROLET,2829,NEGRO,0764470857,00125276,2024,Gasolina,60,12.76,375.58,01205303,OPERADOR_120,Fuera de Servicio,,15
10121,IP994EO,POLICIA CAMINERA,CAMIÓN,NISSAN,6516,ROJO,1697173809,39209857,2021,Diesel,169,4.25,270.89,90775357,OPERADOR_121,Fuera de Servicio,DIRECCION GRAL. DE POLICIA CAMINERA,5
